日期ASIN组合,退货时间,sku,品名,ASIN,求和项:退货数量,求和项:销量
44999 | B09VL31QV5,2023/3/14,FT22030301,21-23福特bronco越野版tpe吸塑椅背垫（4门）--米粒纹4片装（2大2小）KJ,B09VL31QV5,1,18
44999 | B09Z2DN5FB,2023/3/14,FT22042601,21-23福特bronco越野版手套箱隔板（2/4门）--4件套KJ,B09Z2DN5FB,1,6
44999 | B0B71JG7HZ,2023/3/14,FT22052110,21-23福特bronco越野版车门拓展储物盒（2/4门）--tpe款前门1对装（KJ包销）,B0B71JG7HZ,1,4
44999 | B0B6R486S1,2023/3/14,FT22062804,21-23福特bronco越野版中网小黄灯（2/4门）--高配款3个装（黄色款）KJ,B0B6R486S1,1,1
44999 | B0BGMXGQY4,2023/3/14,FT22090802,21-23福特bronco越野版中控无线充电板（2/4门自动挡）KJ,B0BGMXGQY4,1,3
44999 | B0BJTZ1Z27,2023/3/14,FT22092811,21-23福特bronco越野版延伸轮眉（2/4门铁杠标准轮眉）--1对装KJ,B0BJTZ1Z27,1,1
44999 | B0BJV2SMPX,2023/3/14,FT22092812,21-23福特bronco越野版延伸轮眉（2/4门铁杠大脚野人包轮眉）--1对装KJ,B0BJV2SMPX,1,2
44999 | B0BPSRLXPC,2023/3/14,FT22110901,21-23福特bronco越野版后备箱两侧垫（4门）--皮革1对装（KJ包销）,B0BPSRLXPC,1,4
44999 | B0BCV4JQMM,2023/3/14,FT23012909,21-23福特bronco越野版晴雨挡（4门）--升级款4件装（KJ）,B0BCV4JQMM,1,1
44999 | B0BD54S1Q2,2023/3/14,FT23012909,21-23福特bronco越野版晴雨挡（4门）--升级款4件装（KJ）,B0BD54S1Q2,1,6
44999 | B0BN1J94JZ,2023/3/14,XFL22102101,18-22雪佛兰探界者tpe吸塑椅背垫--米粒纹（KJ包销）,B0BN1J94JZ,1,
45000 | B09QM9JJN8,2023/3/15,FT22011001,21-23福特bronco越野版扶手箱套（2/4门）--PVC皮黑色（方格纹）KJ,B09QM9JJN8,1,5
45000 | B09QM8W8Y7,2023/3/15,FT22011501,21-23福特bronco越野版扶手箱储物盒上层（2/4门）--abs硅胶垫款KJ,B09QM8W8Y7,1,5
45000 | B09SYTSCT1,2023/3/15,FT22020901,21-23福特bronco越野版扶手箱套（2/4门）--tpe款KJ,B09SYTSCT1,1,6
45000 | B09V2HBLSZ,2023/3/15,FT22022505,21-23福特bronco越野版遮阳挡（2/4门）--前挡铝箔KJ,B09V2HBLSZ,1,2
45000 | B09WR3FM5S,2023/3/15,FT22031810,21-23福特bronco越野版前门拉手储物盒（2/4门）--abs粘贴款1对装KJ,B09WR3FM5S,1,3
